b1,b2,b3,b4,b5,b6,b7,b8,b9,batters_home,key,pitching,runs_scored
84.1542857142857,73.35525714285713,143.21685714285712,109.72428571428571,98.59431428571428,76.43005714285717,66.07,-20.0,74.03719999999998,1,2016/04/06/colmlb-arimlb-1,612.927,3
97.97165714285715,120.02874285714287,142.33842857142858,113.39585714285715,96.37582857142857,90.11,86.69685714285716,84.18842857142856,-20.0,0,2016/04/06/detmlb-miamlb-1,551.547,7
92.10251428571428,104.15528571428571,114.56442857142858,155.89614285714285,94.66114285714286,103.20185714285714,85.18428571428572,72.23814285714288,-20.0,1,2016/04/06/detmlb-miamlb-1,617.877,3
120.86657142857143,98.16071428571428,101.78000000000002,128.12385714285713,115.88328571428572,98.84185714285715,82.32128571428572,84.45885714285714,94.9482857142857,0,2016/04/06/bosmlb-clemlb-1,558.7740000000001,6
97.50468571428571,88.8,99.02737142857143,106.46485714285713,116.87931428571429,95.85885714285713,85.37862857142856,93.01177142857142,87.04222857142857,1,2016/04/06/bosmlb-clemlb-1,608.274,7
112.59385714285715,119.7477142857143,119.8261142857143,92.11302857142857,102.45594285714287,100.94822857142857,112.96394285714287,101.6013142857143,82.52634285714284,0,2016/04/06/houmlb-nyamlb-1,584.91,6
91.8,99.45605714285713,103.91342857142857,106.29588571428572,96.44451428571428,104.03342857142857,101.07714285714287,95.39617142857142,90.55799999999999,1,2016/04/06/houmlb-nyamlb-1,622.9259999999999,16
92.01662857142858,104.89731428571429,123.28514285714287,95.64948571428572,89.2257142857143,115.65228571428571,91.6348,75.04285714285714,85.70211428571429,0,2016/04/06/minmlb-balmlb-1,653.3190000000001,2
120.36042857142857,104.60285714285715,114.32342857142858,108.621,89.86242857142858,110.63211428571428,72.79948571428571,91.13445714285713,89.66285714285713,1,2016/04/06/minmlb-balmlb-1,636.192,4
115.424,102.10522857142858,119.22820000000002,108.10668571428572,97.03862857142856,94.0364,100.61834285714286,81.03811428571429,-20.0,0,2016/04/06/slnmlb-pitmlb-1,629.5590000000001,1
106.01508571428572,143.3672,99.92888571428571,109.323,98.12891428571429,104.48214285714286,95.31742857142858,83.76385714285716,-20.0,1,2016/04/06/slnmlb-pitmlb-1,632.232,5
84.64182857142856,80.37431428571429,85.35782857142857,106.89805714285713,94.3462857142857,73.03,76.13119999999998,81.53,-20.0,0,2016/04/06/phimlb-cinmlb-1,585.306,2
81.02234285714285,91.88445714285713,141.3816,94.02651428571428,94.76057142857144,87.2012,80.16,-20.0,78.6421142857143,1,2016/04/06/phimlb-cinmlb-1,600.453,3
75.69037142857144,107.47814285714287,159.06242857142857,101.39628571428571,110.10528571428571,103.17514285714287,82.044,73.43914285714284,-20.0,0,2016/04/06/wasmlb-atlmlb-1,612.135,3
