date,mlb_id,siera,tbf,tbfSP,k,bb,ld,gb,fb
2018-07-29,543272,2.531,110.05601072043535,0,38.00498898869293,6.773164398094035,11.689496509599195,27.656478709814987,21.473774561828822
2018-07-31,543272,2.551,107.71936477456742,0,36.50744078263236,6.506274695883181,12.228883706029913,27.566703099298223,20.627622163732262
2018-08-01,543272,2.576,110.57574941555353,0,36.780942711057975,6.376799829435106,12.985528920279918,28.01812570762219,22.21713248267399
2018-08-05,543272,2.602,115.46999192139799,0,38.413133283947396,7.313031831140754,12.855673631077119,29.737944450545967,21.99496115784725
2018-08-08,543272,2.587,115.92001351442714,0,37.89950256415806,7.024869197996802,12.349108795874892,32.56615078479609,21.128271928333046
2018-08-09,543272,2.544,116.47707319303514,0,38.77384943850001,6.816223557947099,13.982327915528613,31.598903540336867,20.500741123789627
2018-08-11,543272,2.483,118.31230246110479,0,40.38611094411501,6.7480613223676285,13.842504636373327,32.2829145049335,20.29573371255173
2018-08-15,543272,2.558,122.95788764212881,0,42.58242733632712,8.613774902052512,13.567038794109498,32.64048450628532,20.89184861167195
2018-08-20,543272,2.645,124.11285626705724,0,41.90450979539076,9.274357801949783,14.032443333136795,32.354319181204495,22.068626417896112
2018-08-21,543272,2.639,121.03009137464028,0,40.85077186135369,8.819821988866678,14.344713985598682,30.768635612614187,21.98704413837948
2018-08-24,543272,2.602,123.81979046089387,0,42.44226414274016,8.731623768978011,15.201266845742696,30.460949256488046,22.767173696995687
2018-08-28,543272,2.696,124.14221886441486,0,41.18168645543663,9.472285811415595,14.749774019157293,31.556228602621097,23.09096587102122
2018-08-30,543272,2.741,122.25052011370363,0,40.558963694163474,10.099039956025432,15.168574071204159,30.3127872863257,22.181089682749157
2018-08-31,543272,2.727,124.81773476344092,0,42.75184031664962,10.898069060900527,14.866719447187196,29.709562819327818,22.73968599806245
2018-09-04,543272,2.706,126.56955741580651,0,43.324321913483125,10.789088370291521,14.718052252715323,31.41246719113454,22.512289138081822
2018-09-05,543272,2.706,125.58221184108965,0,42.61717076604745,10.363955240039438,15.138102268929849,30.174690648059745,22.625215122007738
2018-09-07,543272,2.618,127.32638972267874,0,45.19099905838698,10.260315687639043,14.98672124624055,29.872943741579146,22.39896297078766
2018-09-10,543272,2.527,130.79259456719743,0,48.29169817712508,10.056135405455025,15.688485493440364,29.27847216112172,21.953223607668985
2018-09-11,543272,2.529,130.9079237159571,0,47.857386449566285,9.757458127777605,15.222521785799692,29.408872259464243,23.30119091329761
2018-09-15,543272,2.589,134.59884447879753,0,48.37881258507062,10.65988354649983,15.070296567941694,31.1147835368696,24.068179004164634
2018-09-19,543272,2.602,132.29511295694343,0,48.47249433775662,11.239841601832385,14.476466752681485,29.888736917530622,23.11979671936632
2018-09-20,543272,2.56,130.08215764893913,0,48.5624846555966,10.796946995752197,13.906036201523492,28.711001426919612,23.208784480634375
2018-09-22,543272,2.707,133.78133607244973,0,48.076859809040634,12.688977525794675,13.766975839508257,30.423891412650416,22.97669663582803
2018-09-26,543272,2.722,133.11908748460797,0,47.12013029884073,12.43646687303136,14.493013020302042,29.818455973538672,23.519460372775054
2018-09-29,543272,2.681,131.87366429255536,0,47.26340915574651,11.9464204567311,13.92193048018019,29.643489832541913,23.59269979144083
2018-09-30,543272,2.798,132.9568845894022,0,46.85963864041168,13.59159982274573,13.508435222988359,28.763048541025587,24.891973014935246
2018-04-02,571945,3.47,0.0,0,0.0,0.0,0.0,0.0,0.0
2018-04-09,571945,3.567,25.0,25,5.0,0.0,5.0,7.0,7.0
2018-04-14,571945,3.129,50.301633697674745,52,9.660326739534948,0.0,9.660326739534948,21.52445743534893,8.524457435348928
2018-04-22,571945,3.603,73.83635314020322,78,13.186874608080643,2.0,16.186874608080643,27.4695448505129,14.106674201812902
2018-04-27,571945,3.512,95.13210311602882,105,18.16811858069267,1.8454893888558401,15.93635266397643,36.347376769160576,21.01685877574607
2018-05-04,571945,3.361,117.46968348940418,132,24.27769999564204,1.7550420459979357,18.15531281513894,44.56599364743811,25.986823575888007
2018-05-10,571945,3.332,138.4894214100755,161,26.628402892819626,1.6358138751944613,26.92193795540271,55.53841837382011,25.221417757257623
2018-05-16,571945,3.334,154.38504115961592,185,29.070112733841842,2.54008629161031,27.346470168416996,65.2883184280794,27.74546415820794
2018-05-21,571945,3.568,166.35045161623472,206,29.36893407976133,4.391440821316706,32.74615881975122,66.46765578780827,30.1218037408697
2018-05-27,571945,3.421,189.1976242834106,237,36.92956408602204,5.176216525796871,35.141271210028535,74.2100792943838,33.64553564260768
2018-06-01,571945,3.522,202.12580757665967,261,39.76845151302184,5.873305108039164,36.08480926895872,75.86731654113652,40.67660392347895
2018-06-07,571945,3.635,218.21963183340534,287,39.81940168881437,6.585454717772088,39.316294567319034,84.1490631432345,43.68304559495178
2018-06-12,571945,3.648,231.4494515807457,313,42.48917625104338,7.200074891561586,39.015510883133246,90.2246725400466,48.1267202930259
2018-06-18,571945,3.611,244.10612550810094,337,45.406783843189636,6.84719958040989,38.10336264162488,96.80276584107007,51.76803213298804
2018-06-23,571945,3.689,251.82107151306613,359,45.74958563650509,7.446502483942767,39.87355955251747,99.13788244648067,54.73857462676135
2018-06-29,571945,3.706,264.4793333640822,384,48.50740072736429,9.081549768785205,41.91935838853921,102.27913977475899,56.055839815758645
2018-07-04,571945,3.812,276.00204228909297,411,46.66875488385311,9.550098833108512,44.466243798435954,110.29377979574585,57.77546044453897
2018-07-10,571945,3.989,291.4751959690064,440,47.38152153576633,13.082048965847795,49.28695540874017,109.88828715161594,61.943888011147585
2018-07-15,571945,3.924,295.4181110475859,461,50.608761974339984,13.31648941483758,47.40269014174112,111.45764100492336,63.318940939214045
2018-07-22,571945,3.997,300.93968416650745,481,50.1284290753548,14.663848933109211,48.07948666328862,112.99510758100834,64.21568280339831
2018-07-28,571945,3.942,301.49545142167545,502,52.72297168615144,15.66766545749398,49.81322346400759,111.31882425928029,60.85321273323436
2018-08-02,571945,3.958,306.85198264820093,525,51.63763125994255,15.75079601568632,48.89816106903927,118.80446329477087,60.29209181561632
2018-08-07,571945,3.97,320.8131822905265,554,55.10687352861056,16.978850288922253,52.50166463506389,119.98186247703686,63.33717940430834
2018-08-13,571945,3.995,330.0901442350456,579,53.40608840680635,16.1467176835068,52.928560671132466,130.1015573841322,64.23302740222843
2018-08-18,571945,4.071,336.77331831020837,605,54.280772092163055,16.20181417700375,55.83118920823769,127.48803368331556,69.47412023512855
2018-08-24,571945,3.997,344.2680747848136,629,58.620474160536666,15.407764072659322,56.0949054111183,128.23985151414914,72.0691970691635
2018-08-29,571945,4.014,349.121558482401,654,58.19001277061952,14.50610402106266,57.812239927094616,131.73527456270318,72.85171842388615
2018-09-05,571945,3.992,355.01112832234423,677,60.33812314841309,14.795160586844968,60.97886493309848,132.2789353299753,72.28125933923224
2018-09-11,571945,4.048,361.89357083061884,708,58.23907374438045,13.79005649971744,62.83628695884178,139.29261187909964,74.37085713317686
2018-09-17,571945,3.984,366.7156131328724,734,61.83093184983516,13.983064453602207,64.15911683381447,140.14122904239022,74.01868568482377
2018-09-23,571945,3.957,366.25547024001605,755,64.21259495558586,14.164777610861218,62.40453490213586,137.9401852560693,74.68712325701354
2018-09-29,571945,3.886,369.82225484050383,780,68.45488349221087,13.33585694130556,60.75263084296279,137.86794622328574,77.31644396234401
2018-09-30,571945,3.93,376.18031173905223,808,70.44891393747474,12.55544458549072,62.197395962536405,134.79993460790809,84.79189721282168
2018-04-09,592426,4.27,0.0,0,0.0,0.0,0.0,0.0,0.0
2018-04-14,592426,4.378,5.0,0,2.0,2.0,0.0,0.0,1.0
2018-06-05,592426,4.204,7.754950249499999,0,2.9019800998,1.9019800997999998,1.0,0.0,0.9509900498999999
2018-06-12,592426,3.979,16.598425291466434,0,6.720776827306274,3.127810380904775,0.5929664464014994,3.0,2.5639051904523873
2018-06-20,592426,3.818,18.470817043998842,0,7.264203191748458,2.915323670865104,0.5526834771623851,2.7961960437209696,4.3897271833395415
2018-06-22,592426,3.931,22.04384842909873,0,6.703004954432252,3.6900994498309023,1.5099857462495654,3.580175063923865,6.05059746841258
2018-06-23,592426,3.933,22.605175845359664,0,6.56961515583905,3.616666470779267,1.479937029899199,4.50892958015178,5.930190578791169
2018-06-25,592426,3.583,30.379124086906067,0,9.50391900428066,3.5804998060714746,4.465137659600207,4.463840284350263,7.8708886730032575
2018-06-29,592426,3.596,33.77457951757664,0,10.314791016095473,4.509247859930652,4.376281420174163,5.375009862691693,8.714257988410491
2018-07-03,592426,3.742,36.44372632401184,0,9.908347094045157,5.331565502350423,6.203838470856434,6.163213027812287,8.370881453777743
2018-07-08,592426,3.277,49.00769809637774,0,14.517918684234871,6.121480548611461,9.959382481789191,7.920357843296502,10.041035324681898
2018-07-13,592426,3.451,48.6058332581584,0,13.80639621396466,6.821467092385892,9.471273643329889,8.532181500622396,9.5489246844669
2018-07-14,592426,3.253,49.22366379560713,0,15.129745424457422,6.487147330579266,9.007086994686846,8.114019711032748,10.080932362172518
