date,mlb_id,wRAA,wrcplus,pa
2018-06-05,448801,-12.871505857254185,27.05,152.875585303511
2018-06-06,448801,-12.689209261787878,27.53,151.33502754441142
2018-06-07,448801,-12.86231716917,27.91,153.8216772689673
2018-06-10,448801,-13.7336939974783,24.31,156.28346049627763
2018-06-11,448801,-13.625789552059198,24.56,155.6416854360777
2018-06-22,448801,-14.789531656538607,19.89,159.08526858171692
2018-06-23,448801,-12.441633454669297,28.324,149.43512665023346
2018-06-24,448801,-12.317217120122605,29.91,151.9407753837311
2018-06-25,448801,-13.194044948921379,26.29,154.4213676298938
2018-06-26,448801,-13.462104499432165,26.11,156.87715395359487
2018-06-27,448801,-14.127483454437844,23.37,158.3083824140589
2018-06-28,448801,-12.886208619893466,31.48,161.7252985899183
2018-06-29,448801,-11.557346533694533,39.34,164.10804560401914
2018-06-30,448801,-12.441773068357588,35.81,166.46696514797895
2018-07-01,448801,-12.617355337674013,35.89,168.80229549649917
2018-07-03,448801,-12.491181784297273,37.43,171.11427254153418
2018-07-04,448801,-13.242607266789758,33.97,171.70909851795764
2018-07-05,448801,-13.410181194121861,34.0,173.99200753277808
2018-07-06,448801,-14.276079382180642,30.66,176.2520874574503
2018-07-07,448801,-14.433318588358835,30.71,178.4895665828758
2018-07-08,448801,-13.088985402475247,37.7,180.70467091704703
2018-07-09,448801,-12.358095548450494,41.7,182.89762420787656
2018-07-10,448801,-11.63451459296599,45.6,185.0686479657978
2018-07-11,448801,-11.81816944703633,45.36,187.2179614861398
2018-07-12,448801,-12.199987752565967,44.23,189.3457818712784
2018-07-13,448801,-13.077987875040307,40.99,191.45232405256561
2018-07-14,448801,-12.647207996289904,43.33,193.53780081203996
2018-07-15,448801,-13.320735916327004,40.61,194.60242280391955
2018-07-20,448801,-13.487528557163735,40.38,196.65639857588036
2018-07-21,448801,-12.426505455604813,43.59,192.01827829483074
2018-07-23,448801,-12.702240401048766,42.96,194.09809551188243
2018-07-24,448801,-13.449465817067894,39.69,194.23554341119598
2018-07-26,448801,-13.814971158897215,38.65,196.29318797708402
2018-07-27,448801,-11.94005323283516,46.73,196.38695353634003
2018-07-28,448801,-12.020652700506808,47.24,199.42308400097662
2018-07-29,448801,-12.100446173501739,47.73,202.42885316096684
2018-07-31,448801,-8.779441711766722,62.04,205.40456462935717
2018-08-01,448801,-9.604730821702564,58.64,205.31701379323295
2018-08-02,448801,-9.508683513485538,59.56,208.2638436553006
2018-08-03,448801,-9.413596678350682,60.36,211.1812052187476
2018-08-07,448801,-9.319460711567176,60.95,213.06939316656013
2018-08-08,448801,-9.95223677488319,57.71,208.67360892891892
2018-08-09,448801,-10.852714407134357,54.57,210.58687283962973
