mlb_id,date,throws,vL_bb,vL_double,vL_hbp,vL_hr,vL_k,vL_single,vL_triple,vR_bb,vR_double,vR_hbp,vR_hr,vR_k,vR_single,vR_triple
622663,2018-05-19,R,0.07319851232100202,0.042592254035758455,0.007332269871900928,0.025931413666608352,0.27892757919771205,0.13527834840688271,0.004405946193068534,0.0633662397995741,0.037811420934545543,0.008138997779498265,0.023851266672821198,0.29630403104642605,0.1330922463535496,0.00366960850477494
622663,2018-05-25,R,0.07332763056054062,0.04273901527802849,0.007078084516341696,0.025631761775349766,0.2772580897855247,0.13581036100391938,0.004416660505083838,0.06347801443910805,0.03794170873532007,0.007856845856475659,0.02357565203571304,0.29453053685111097,0.13361566161151112,0.0036785322021537286
622663,2018-05-30,R,0.07631447971593665,0.042610927688478836,0.006851585811818762,0.025755181713238103,0.2750524975790546,0.13537594978232564,0.00440651324397312,0.0660636598822283,0.037827998534378675,0.007605426789068438,0.023689171564156966,0.2921875420726762,0.1331882704879205,0.003670080788078214
622663,2018-06-04,R,0.07490049177949626,0.04244125387195711,0.006604928722593287,0.025842944929504643,0.2798172743328753,0.1348096379007223,0.0043920406477073156,0.06483960360276102,0.037677370016510434,0.007331631424661975,0.023769894655545278,0.2972491518398217,0.1326311102228307,0.0036580269045272252
622663,2018-06-10,R,0.07190447210831641,0.04229042154339356,0.007674064907022889,0.02549837233044458,0.2819579166928936,0.13431375399666323,0.004370780836386732,0.062246019458650576,0.03754346809478856,0.00851839857631863,0.023452962726804673,0.29952315056783047,0.13214323981711518,0.0036403201098880486
622663,2018-06-16,R,0.07246194092647246,0.042262421377132084,0.0074489590030835506,0.02569798869436957,0.283020484469902,0.13423482288808872,0.0043711383645661924,0.06272860717378267,0.037518610850279716,0.008268525551413284,0.02363656641264478,0.3006519135122952,0.1320655842375559,0.0036406178866630148
608331,2018-04-24,L,0.10176237099186353,0.0398862981650193,0.02018165686286002,0.0219991154522992,0.2312087029710989,0.14307558472355086,0.0038714434363858203,0.12309197819194102,0.04491084342469556,0.00918227482514952,0.029437251954356192,0.17565976591537408,0.14940595611573676,0.0038661462094649423
608331,2018-04-27,L,0.10282433800255186,0.03985970729957595,0.020127839111225725,0.022391083316753123,0.23059214642984266,0.14298020100040182,0.003868862474094897,0.12437653572382736,0.04488090286241243,0.009157788758949122,0.02996174835099359,0.1751913398729331,0.14930635214499294,0.0038635687786586327
608331,2018-05-03,L,0.10251248192784437,0.039765903060267886,0.01980579368544611,0.02267206460613084,0.2309026720869652,0.1426413147022356,0.003859891766441575,0.123999313959311,0.044775281942498836,0.009011264138805935,0.030337732423071688,0.1754272603358738,0.14895247184116697,0.003854610345464401
608331,2018-05-04,L,0.1031623987149921,0.03976594483870237,0.01967375506087647,0.022621682240339433,0.2333633209397188,0.14264397266796203,0.003860644084579953,0.12478545467331383,0.04477532898383423,0.008951189044547229,0.030270315239909303,0.17729672716787562,0.14895524740844104,0.0038553616342193054
