steamerid,mlbamid,firstname,lastname,IP,G,GS,start_percent,start_IP,relief_IP,SV,League,DBTeamId,FBV,reliability,Throws,age,Krate,BBrate,HBPrate,GBrate,FBrate,LDrate,SIERA,BABIP,TBF,batters_per_IP,ERA,RA,K,BB,IBB,1b,2b,3b,HR,HBP,SH,SF,GB,FB,LD,K9,BB9,HBP9,HR9,H,ER,R,WHIP,W,L,QS,HLD,holds_old,SV_old,HR/FB,FIP,LOB%,ERA-,CG,ShO
sa599746,607536,Kyle,Freeland,110.808,19.44,19.44,1,110.808,0,0,NL,COL,NULL,0.59829,L,24,0.1467,0.0786,0.007083,0.45111893,0.3260859,0.22279518,4.61,0.306926,494.017,4.458315284,5.10782976,5.485095841,72.4723,38.8297,1.9553,83.25833,25.18432,2.79339,16.7961,3.4991,5.1872,5.06861,168.6869,121.9333,83.3098,5.886314165,3.153809292,0.2842024042,1.36420524,128.0321,62.8876,67.5325,1.50586448,5.95,7.5164,7.095,0,0,0,0.13774822,4.9555,0.70024483,125.8223092,0.196,0.0899
sa599820,606575,Erik,Cabrera,1,0.4846491228,0.1096,0.6234265,0.625,0.375,0,NL,SDN,NULL,0.27371,,26,0.12424192,0.13289255,0.008904,0.46233766,0.33423849,0.20342385,5.6072797,0.2997885357,4.687,4.687,5.5989,6.0039,0.5822,0.6228,0.028,0.75355,0.2137,0.02396,0.1334,0.0417,0.0492,0.04711,1.5664,1.1324,0.6892,5.2398,5.6052,0.3753,1.200961265,1.1247,0.6221,0.6671,1.747452252,0.0367,0.0754,0.0329,0,0,0,0.11783834,5.7107875,0.70026025,137.9172921,0.0009,0.0004
sa599873,519435,Cody,Winiarski,1,0.1754385965,0.1754,1,1,0,0,AL,CHA,NULL,0.2968,R,27,0.1739,0.0985,0.008773,0.43526336,0.36123362,0.20350302,4.6,0.299882,4.452,4.452,5.0715,5.4324,0.7743,0.4386,0.0082,0.68525,0.20653,0.022,0.1533,0.0391,0.024,0.04737,1.3817,1.1467,0.646,6.9687,3.9474,0.3519,1.380094951,1.0671,0.5635,0.6036,1.505724841,0.0473,0.074,0.0647,0,0,0,0.13372624,5.025,0.70761155,124.928118,0.0018,0.0008
sa599881,607972,Zach,Jadofsky,1,0.803754386,0.0418,0.2375245,0.238,0.762,0,NL,ATL,NULL,0.24243,R,27,0.15510819,0.12286208,0.008901,0.46076577,0.33284762,0.20638661,4.9746306,0.3029570388,4.589,4.589,5.1336,5.5215,0.7117,0.5638,0.0367,0.72794,0.20462,0.0209,0.1249,0.0408,0.0481,0.04467,1.4862,1.0736,0.6657,6.4053,5.0742,0.3672,1.124228076,1.0784,0.5704,0.6135,1.64217344,0.0409,0.0618,0.014,0,0,0,0.11635081,5.1613062,0.70915592,126.4763349,0.0004,0.0002
sa599887,608115,German,Taveras,1,0.8796140351,0.0256,0.1469662,0.146,0.854,0,AL,BOS,NULL,0.43859,R,24,0.12294023,0.14782108,0.008442,0.42790916,0.35590634,0.2161845,5.8402561,0.3008742267,4.763,4.763,6.1182,6.5133,0.5855,0.704,0.039,0.72771,0.23849,0.02284,0.1459,0.0402,0.0257,0.05011,1.4584,1.213,0.7368,5.2695,6.336,0.3618,1.313423838,1.135,0.6798,0.7237,1.838983363,0.0415,0.059,0.0053,0,0,0,0.12030996,6.1057392,0.68989313,150.7035218,0.0002,0.0001
sa599910,608111,Francisco,Villa,1,1,0,0,0,1,0,FA,FA,NULL,0.23514,R,25,0.1345,0.1479,0.008697,0.44800145,0.34698861,0.20500995,5.63,0.299356,4.733,4.733,5.7744,6.1722,0.6365,0.7,0.0439,0.73212,0.20807,0.02229,0.1398,0.0412,0.0376,0.04773,1.4862,1.1511,0.6801,5.7285,6.3,0.3708,1.25827877,1.1023,0.6416,0.6858,1.802283056,0.04,0.0569,0,0,0,0,0.12145665,5.9151,0.70258382,142.2379846,0,0
sa599915,600881,Min-Sih,Chen,1,0.5151578947,0.1032,0.588184,0.588,0.412,0,AL,SEA,NULL,0.29992,R,27,0.12431877,0.11289479,0.010183,0.43616307,0.36212683,0.2017101,5.3664552,0.2949541698,4.587,4.587,5.5404,5.9256,0.5703,0.5179,0.0225,0.73584,0.21623,0.02129,0.1526,0.0467,0.0248,0.05124,1.4946,1.2409,0.6912,5.1327,4.6611,0.4203,1.373080747,1.1259,0.6156,0.6584,1.643821168,0.0429,0.0683,0.0309,0,0,0,0.12294667,5.6835744,0.69882837,136.4739936,0.0008,0.0004
sa599917,600470,Hector,Silvestre,1,0.1754385965,0.1754,1,1,0,0,NL,WAS,NULL,0.36478,L,24,0.1216,0.0982,0.008281,0.46001787,0.3320174,0.20796473,5.19,0.303448,4.558,4.558,5.2749,5.6709,0.5542,0.4476,0.018,0.77775,0.22962,0.01817,0.1387,0.0377,0.0479,0.04789,1.5964,1.1522,0.7217,4.9878,4.0284,0.3393,1.248113943,1.1642,0.5861,0.6301,1.611823233,0.0514,0.0701,0.0608,0,0,0,0.12036046,5.2973,0.70045535,129.9360814,0.0017,0.0008
sa600253,605175,Michael,Cederoth,1,1,0,0,0,1,0,AL,MIN,NULL,0.33762,R,24,0.1465,0.1654,0.009297,0.43101634,0.35800941,0.21097425,5.79,0.302482,4.798,4.798,5.9391,6.3333,0.703,0.7937,0.0445,0.71505,0.2059,0.02298,0.1366,0.0446,0.0259,0.04781,1.3927,1.1568,0.6817,6.327,7.1433,0.4014,1.229332398,1.0805,0.6599,0.7037,1.874224133,0.0397,0.0571,0,0,0,0,0.11807788,6.0316,0.70336183,146.3098801,0,0
sa600287,608217,Jonathan,Martinez,1,0.1754385965,0.1754,1,1,0,0,NL,CHN,NULL,0.61062,R,23,0.1368,0.0839,0.008429,0.46201463,0.33400468,0.20398069,4.8,0.294122,4.44,4.44,4.9725,5.3568,0.6075,0.3726,0.0176,0.72604,0.21328,0.02451,0.1461,0.0374,0.0466,0.04687,1.5599,1.1277,0.6887,5.4675,3.3534,0.3366,1.314680141,1.1099,0.5525,0.5952,1.48250487,0.0549,0.0667,0.0666,0,0,0,0.12953407,5.061,0.70298428,122.4869514,0.0019,0.0009
sa600288,606197,Igol,Feliz,1,0.1754385965,0.1754,1,1,0,0,AL,KCA,NULL,0.41713,R,24,0.0577,0.1343,0.009575,0.43323712,0.35918038,0.20758249,6.7,0.297919,4.852,4.852,7.0209,7.4367,0.28,0.6516,0.0089,0.81443,0.25602,0.03173,0.1744,0.0465,0.0262,0.05702,1.6661,1.3813,0.7983,2.52,5.8644,0.4185,1.569222196,1.2765,0.7801,0.8263,1.928142904,0.0279,0.0929,0.0271,0,0,0,0.12622748,6.948,0.66357426,172.9385492,0.0009,0.0004
sa600293,608220,Ronald,Dominguez,1,0.4665087719,0.1135,0.6497073,0.647,0.353,0,AL,SEA,NULL,0.43776,R,23,0.14808843,0.09288649,0.008325,0.43616089,0.36212263,0.20171648,4.7848537,0.2944075402,4.442,4.442,4.9554,5.3217,0.6577,0.4126,0.0197,0.70915,0.20912,0.02063,0.1451,0.037,0.024,0.04949,1.4433,1.1983,0.6675,5.9193,3.7134,0.333,1.306250214,1.084,0.5506,0.5913,1.496645991,0.0482,0.0647,0.041,0,0,0,0.12112068,5.067227,0.70829037,122.0534977,0.0011,0.0005
sa600688,600921,Andres,Machado,1,0.1754385965,0.1754,1,1,0,0,AL,KCA,NULL,0.29664,R,24,0.0995,0.1292,0.009104,0.43322403,0.35920289,0.20757308,6.03,0.296949,4.717,4.717,6.2082,6.6096,0.4693,0.6094,0.0087,0.75444,0.23718,0.0294,0.1569,0.0429,0.0255,0.05292,1.5457,1.2816,0.7406,4.2237,5.4846,0.3861,1.412182948,1.1779,0.6898,0.7344,1.787326092,0.0368,0.0843,0.0428,0,0,0,0.12243229,6.2051,0.68040354,152.923939,0.0012,0.0005
sa600903,546497,Carlos,Valdez,1,1,0,0,0,1,0,NL,NYN,NULL,0.23544,L,26,0.1413,0.151,0.008985,0.46314658,0.33510361,0.20174981,5.56,0.301084,4.735,4.735,5.4675,5.8707,0.669,0.715,0.0439,0.73728,0.20105,0.01954,0.1269,0.0425,0.0497,0.04544,1.5087,1.0916,0.6572,6.021,6.435,0.3825,1.141970812,1.0848,0.6075,0.6523,1.799759966,0.0398,0.0571,0,0,0,0,0.11623822,5.731,0.71485379,134.6829311,0,0
sa601045,605325,Cody,Kukuk,1,0.1754385965,0.1754,1,1,0,0,AL,BOS,NULL,0.32728,L,24,0.1559,0.1533,0.00845,0.42791238,0.35591891,0.21616872,5.67,0.299231,4.706,4.706,5.6439,6.0345,0.7336,0.7214,0.0086,0.67158,0.22964,0.01854,0.1373,0.0398,0.0254,0.04687,1.3635,1.1341,0.6888,6.6024,6.4926,0.3582,1.235620679,1.0571,0.6271,0.6705,1.778456551,0.0498,0.0716,0.0537,0,0,0,0.12105739,5.7482,0.70585611,139.035647,0.0014,0.0007
sa601196,607654,Craig,Missigman,1,1,0,0,0,1,0,NL,NYN,NULL,0.3428,R,23,0.1527,0.1523,0.010625,0.46314535,0.33511072,0.20174393,5.43,0.301717,4.733,4.733,5.5593,5.958,0.7227,0.7208,0.0439,0.71948,0.19906,0.01953,0.1298,0.0503,0.0497,0.04449,1.4766,1.0684,0.6432,6.5043,6.4872,0.4527,1.167974066,1.0678,0.6177,0.662,1.788643322,0.0395,0.0574,0,0,0,0,0.12146658,5.702,0.71017487,136.9541275,0,0
sa601493,602513,Gonzalo,Sanudo,1,1,0,0,0,1,0,AL,HOU,NULL,0.39909,R,25,0.1774,0.0814,0.00795,0.43610734,0.36208477,0.2018079,4.14,0.296591,4.348,4.348,4.5585,4.9041,0.7713,0.3539,0.0403,0.68033,0.20017,0.02323,0.141,0.0346,0.0235,0.04732,1.3798,1.1456,0.6385,6.9417,3.1851,0.3114,1.268852517,1.0447,0.5065,0.5449,1.398615644,0.0473,0.0497,0,0,0,0,0.1230653,4.6027,0.71879585,112.298591,0,0
sa601537,602512,Gerardo,Ramirez,1,1,0,0,0,1,0,FA,FA,NULL,0.16177,R,23,0.1381,0.1307,0.009186,0.44800578,0.34699964,0.20499458,5.3,0.299275,4.649,4.649,5.5143,5.904,0.642,0.6076,0.0431,0.73236,0.20815,0.0223,0.1395,0.0427,0.037,0.04775,1.4872,1.1519,0.6805,5.778,5.4684,0.3843,1.255528191,1.1023,0.6127,0.656,1.709913731,0.0411,0.0558,0,0,0,0,0.12110698,5.6274,0.70417206,135.845626,0,0
