role,pn,split,Throws,steamerid,mlbamid,firstname,lastname,start_percent,percentL,TBF,SH,SF,HBP,BB,IBB,AB,SO,1b,2b,3B,HR,AVG,OBP,SLG,wOBA,BABIP,SH/PA,SF/PA,HBP/PA,BB/PA,IBB/PA,AB/PA,SO/PA,1B/PA,2B/PA,3B/PA,HR/PA
RP,0,total,R,13684,607231,John,Gant,0,0.4269006729,106.3829787,1.117021277,1.012659574,0.7578723404,8.968085106,1.100851064,94.52734043,24.64893617,15.84913228,4.460584606,0.455773876,2.58158364,0.2469875307,0.3141854465,0.358439938,0.301015,0.2991003481,0.0105,0.009519,0.007124,0.0843,0.010348,0.888557,0.2317,0.1489818434,0.0419294953,0.004284274434,0.02426688622
RP,1,total,R,13684,607231,John,Gant,0,0.4269006729,106.8832835,1.122274476,1.05632749,0.7614365113,9.181274049,1.106028217,94.76197093,24.57246687,15.69719689,4.523438304,0.4825242535,2.858064466,0.2486358577,0.3167890965,0.3668754387,0.3062,0.2978441529,0.0105,0.009883,0.007124,0.0859,0.010348,0.886593,0.2299,0.1468629741,0.04232128877,0.004514496915,0.02674005114
RP,0,total,L,13688,607320,Ryan,Merritt,0,0.4221250997,41.98152813,0.2267002519,0.4651973132,0.3929051217,1.675062972,0.3843828715,39.22166247,6.931150294,7.156155832,2.07441856,0.1708882286,1.271052631,0.2721076716,0.3051259937,0.3985250637,0.310946,0.2964698921,0.0054,0.011081,0.009359,0.0399,0.009156,0.93426,0.1651,0.1704596319,0.04941265011,0.004070557606,0.03027647368
RP,1,total,L,13688,607320,Ryan,Merritt,0,0.4221250997,41.91114837,0.2263202012,0.4440486169,0.3922464376,1.659681475,0.3837384744,39.18885163,7.137468567,7.245431108,1.987240055,0.2095872337,1.212939223,0.2718935915,0.3048381412,0.3952014397,0.309121,0.2996703969,0.0054,0.010595,0.009359,0.0396,0.009156,0.935046,0.1703,0.1728759862,0.04741554771,0.005000751395,0.02894072985
RP,0,total,L,1370,518703,Charlie,Furbush,0,0.4893362077,106.7463706,0.8486336465,1.06266012,1.131725021,9.350982067,1.028608027,94.35236977,24.86122972,15.32358378,4.425815364,0.4650917251,2.845910691,0.2444072323,0.3167500043,0.3614983051,0.30497,0.2948587522,0.00795,0.009955,0.010602,0.0876,0.009636,0.883893,0.2329,0.1435513328,0.04146103833,0.004356979281,0.02666049135
RP,1,total,L,1370,518703,Charlie,Furbush,0,0.4893362077,106.7919692,0.8489961555,1.063114054,1.132208458,9.354976506,1.029047416,94.39267407,24.87184964,15.36216212,4.43100725,0.4738695009,2.849807191,0.2449008495,0.3171898055,0.3622654728,0.305457,0.2955105669,0.00795,0.009955,0.010602,0.0876,0.009636,0.883893,0.2329,0.1438512861,0.04149195189,0.004437314006,0.02668559454
RP,0,total,R,13713,607457,Kyle,Barraclough,0,0.4340569127,277.1855011,2.910447761,2.013198294,2.205010661,36.42217484,2.507697228,233.6346695,84.62473348,33.88328439,9.204657188,1.16073203,4.321145853,0.2078878942,0.3179181042,0.2942124667,0.282354,0.2957553177,0.0105,0.007263,0.007955,0.1314,0.009047,0.842882,0.3053,0.1222404645,0.03320757093,0.004187564017,0.01558936465
RP,1,total,R,13713,607457,Kyle,Barraclough,0,0.4340569127,278.6112302,2.925417917,2.122460351,2.216352336,36.47021003,2.520595799,234.8767895,84.47492499,33.97019512,9.483835285,1.020667575,5.223807897,0.2115939424,0.320600714,0.3051442088,0.288431,0.2960520632,0.0105,0.007618,0.007955,0.1309,0.009047,0.843027,0.3032,0.1219268695,0.03403967342,0.003663411464,0.01874945204
RP,0,total,R,13758,608648,Tyler,Duffey,0,0.4226375376,124.6364769,0.6730369755,1.148525135,0.959326963,6.530951392,1.401786456,115.3246365,27.64437059,20.29634887,5.489103783,0.6044341047,3.209965975,0.2566654762,0.2992021769,0.370413105,0.296096,0.3058212691,0.0054,0.009215,0.007697,0.0524,0.011247,0.925288,0.2218,0.1628443725,0.04404090935,0.0048495763,0.025754627
RP,1,total,R,13758,608648,Tyler,Duffey,0,0.4226375376,123.5076163,0.666941128,1.077356937,0.9506381227,6.459448333,1.389090161,114.3532318,28.80197612,19.71287246,5.246384937,0.5564142432,3.038430575,0.2497008766,0.292771011,0.3584522811,0.28825,0.302831033,0.0054,0.008723,0.007697,0.0523,0.011247,0.92588,0.2332,0.1596085573,0.04247823004,0.004505100656,0.02460115955
RP,0,total,R,13761,608717,Chris,Stratton,0,0.4336049443,106.7919692,1.121315677,1.080734729,0.8590346006,8.6821871,0.975758223,95.04869714,21.72148654,16.33953402,4.55303201,0.572478815,2.489808026,0.2520271565,0.316985591,0.3643654212,0.304319,0.2938828807,0.0105,0.01012,0.008044,0.0813,0.009137,0.890036,0.2034,0.1530033966,0.04263459174,0.005360691624,0.02331456235
RP,1,total,R,13761,608717,Chris,Stratton,0,0.4336049443,108.3658431,1.137841352,1.142717815,0.8716948418,8.885999133,0.9901387083,96.32758994,21.18552232,16.74736744,4.854978852,0.5202035297,3.154958678,0.2624119269,0.3267355719,0.389118131,0.319962,0.297875918,0.0105,0.010545,0.008044,0.082,0.009137,0.888911,0.1955,0.1545447067,0.04480174484,0.004800438172,0.02911395868
RP,0,total,R,13764,532077,Roberto,Osuna,0,0.4689160471,268.1518152,1.448019802,3.027433993,2.361076733,19.68234323,2.549855611,241.6329414,73.98308581,33.26522007,11.90683506,1.260467977,8.04416547,0.2254522428,0.2869104597,0.3517433924,0.286661,0.2829851255,0.0054,0.01129,0.008805,0.0734,0.009509,0.901105,0.2759,0.1240536822,0.04440333566,0.004700575963,0.02999854938
