steamerid,mlbamid,firstname,lastname,IP,G,GS,start_percent,start_IP,relief_IP,SV,League,DBTeamId,FBV,reliability,Throws,age,Krate,BBrate,HBPrate,GBrate,FBrate,LDrate,SIERA,BABIP,TBF,batters_per_IP,ERA,RA,K,BB,IBB,1b,2b,3b,HR,HBP,SH,SF,GB,FB,LD,K9,BB9,HBP9,HR9,H,ER,R,WHIP,W,L,QS,HLD,HR/FB,FIP,LOB%,ERA-,CG,ShO
sa738684,641482,Nestor,Cortes,1,0.20677193,0.1688,0.9610362,0.962,0.038,0,FA,FA,NULL,0.19625,L,21,0.10766628,0.1300949,0.008222,0.45098714,0.34400826,0.20500459,5.8766238,0.299512693,4.671,4.671,5.7465,6.1533,0.5029,0.6076,0.0196,0.73352,0.21955,0.02156,0.1313,0.0384,0.0371,0.04967,1.5716,1.1988,0.7144,4.5261,5.4684,0.3456,1.181811774,1.1059,0.6385,0.6837,1.713542691,0.0401,0.0811,0.0499,0,0.10953655,5.7732742,0.68123148,152.1830435,0.0014,0.0007
sa657869,621079,Collin,Wiles,1,0.191929825,0.1719,0.9801483,0.98,0.02,0,AL,TEX,NULL,0.48445,R,22,0.09117917,0.0926072,0.008859,0.43491148,0.35490713,0.21018138,5.5922579,0.303453758,4.584,4.584,5.7483,6.1425,0.418,0.4245,0.0104,0.77531,0.22988,0.02844,0.1625,0.0406,0.0248,0.05387,1.5993,1.3051,0.7729,3.762,3.8205,0.3654,1.462627183,1.1961,0.6387,0.6825,1.620640427,0.0434,0.078,0.0505,0,0.12452236,5.806012,0.68265769,152.2358619,0.0014,0.0007
sa659907,624575,Joshua,Torres,1,0.346122807,0.1391,0.7923309,0.793,0.207,0,NL,MIL,NULL,0.30263,R,22,0.11684188,0.11315114,0.008407,0.46205255,0.32804612,0.20990133,5.4146963,0.307211451,4.642,4.642,5.7501,6.1542,0.5424,0.5253,0.024,0.75393,0.21771,0.02472,0.1485,0.039,0.0487,0.04755,1.6109,1.1437,0.7318,4.8816,4.7277,0.351,1.336110027,1.1448,0.6389,0.6838,1.670116395,0.0364,0.0807,0.0403,0,0.12980386,5.6720252,0.68296281,152.2977536,0.0011,0.0006
sa829284,657586,Koby,Gauna,1,1,0,0,0,1,0,AL,OAK,NULL,0.24746,R,22,0.104,0.1254,0.009038,0.4379085,0.35792095,0.20417056,5.7,0.303961,4.673,4.673,5.751,6.1461,0.486,0.586,0.0458,0.75973,0.21818,0.02456,0.131,0.0422,0.0252,0.05223,1.5477,1.265,0.7216,4.374,5.274,0.3798,1.178869944,1.1335,0.639,0.6829,1.719452806,0.0383,0.0591,0,0,0.10354589,5.7494,0.68350202,152.297886,0,0
sa829675,657536,David,Carver,1,0.292526316,0.1505,0.8564974,0.858,0.142,0,NL,MIL,NULL,0.20678,L,24,0.11131039,0.11570101,0.008131,0.46206936,0.32802875,0.20990189,5.5442599,0.306440586,4.648,4.648,5.7528,6.1605,0.5175,0.5379,0.0223,0.75511,0.22425,0.02324,0.1394,0.0378,0.0488,0.04782,1.6202,1.1502,0.736,4.6575,4.8411,0.3402,1.254480243,1.142,0.6392,0.6845,1.679890507,0.0366,0.0821,0.0441,0,0.12118475,5.6381442,0.67859255,152.3570604,0.0012,0.0006
sa658200,621221,Eric,Semmelhack,1,0.245526316,0.1605,0.9138415,0.915,0.085,0,NL,MIL,NULL,0.17733,R,25,0.11471823,0.10972289,0.007801,0.46208254,0.3280381,0.20987936,5.42,0.307263089,4.631,4.631,5.7537,6.1578,0.5312,0.5081,0.0207,0.75687,0.21992,0.02505,0.1506,0.0361,0.0486,0.04782,1.6202,1.1502,0.7359,4.7808,4.5729,0.3249,1.355629616,1.1525,0.6393,0.6842,1.660567206,0.0366,0.0835,0.0471,0,0.13095593,5.6623225,0.6814329,152.3889358,0.0013,0.0007
sa829610,657766,Kenton,St. John,1,0.256245614,0.1582,0.9026242,0.902,0.098,0,AL,DET,NULL,0.46097,L,23,0.09113067,0.10807003,0.00877,0.44017872,0.35914833,0.20067295,5.7910497,0.300151827,4.611,4.611,5.7537,6.1533,0.4202,0.4983,0.0132,0.75831,0.22724,0.02866,0.1408,0.0404,0.0249,0.05376,1.596,1.3022,0.7276,3.7818,4.4847,0.3636,1.266922063,1.155,0.6393,0.6837,1.653281764,0.043,0.0766,0.0458,0,0.108101,5.739683,0.67484858,152.3940153,0.0013,0.0006
sa827494,657751,Daniel,Savas,1,1,0,0,0,1,0,NL,ARI,NULL,0.15576,R,23,0.1232,0.1546,0.008124,0.46617757,0.33112741,0.20269501,5.84,0.298304,4.748,4.748,5.7546,6.1668,0.585,0.7341,0.0465,0.70361,0.20337,0.02526,0.1236,0.0386,0.0499,0.04602,1.5568,1.1058,0.6769,5.265,6.6069,0.3474,1.112640903,1.0559,0.6394,0.6852,1.789973807,0.0372,0.0603,0,0,0.11179849,5.8892,0.69065318,152.3985228,0,0
sa736947,642535,Adolfi,Telleria,1,0.587719298,0.0877,0.4943605,0.5,0.5,0,NL,CIN,NULL,0.2285,R,22,0.11158459,0.13518836,0.009112,0.4662372,0.33115696,0.20260584,5.7758459,0.295339662,4.699,4.699,5.7555,6.1686,0.5244,0.6354,0.0325,0.72485,0.20067,0.02108,0.1478,0.0429,0.0494,0.04747,1.6067,1.1412,0.6982,4.7196,5.7186,0.3861,1.330012954,1.0944,0.6395,0.6854,1.72979248,0.0368,0.073,0.0264,0,0.12949458,6.04125,0.69439991,152.447517,0.0007,0.0004
sa738631,607048,J.D.,Osborne,1,1,0,0,0,1,0,AL,HOU,NULL,0.1654,L,25,0.1361,0.1584,0.010383,0.43968132,0.35872529,0.20159338,5.8,0.296403,4.728,4.728,5.7582,6.1551,0.6435,0.7489,0.0463,0.68331,0.1947,0.02279,0.1252,0.0491,0.0255,0.04837,1.4349,1.1707,0.6579,5.7915,6.7401,0.4419,1.12698274,1.026,0.6398,0.6839,1.774921072,0.0397,0.0576,0,0,0.10696191,5.8689,0.691522,152.5071046,0,0
