key,away,date,home,ml_away_close,ml_away_open,ml_home_close,ml_home_open,rl_away_close,rl_away_open,rl_home_close,rl_home_open,time,total_close_line,total_close_odds,total_open_line,total_open_odds
2018/03/29/chnmlb-miamlb-1,Chicago Cubs,2018-03-29,Miami Marlins,1.5,1.53,2.85,2.78,1.83,1.83,2.1,2.0,12:40p,8.0,1.91,8.0,1.83
2018/03/29/slnmlb-nynmlb-1,St. Louis Cardinals,2018-03-29,New York Mets,2.23,2.3,1.75,1.71,1.58,1.57,2.63,2.55,1:10p,6.5,1.83,7.0,1.8
2018/03/29/minmlb-balmlb-1,Minnesota Twins,2018-03-29,Baltimore Orioles,2.15,2.01,1.8,1.9,1.56,1.49,2.67,2.75,3:05p,9.5,1.92,9.5,1.87
2018/03/29/houmlb-texmlb-1,Houston Astros,2018-03-29,Texas Rangers,1.64,1.63,2.46,2.49,2.0,1.87,1.91,1.95,3:35p,9.5,2.07,10.0,2.0
2018/03/29/nyamlb-tormlb-1,New York Yankees,2018-03-29,Toronto Blue Jays,1.62,1.71,2.52,2.3,2.03,2.1,1.88,1.77,3:37p,8.5,1.98,8.5,1.91
2018/03/29/bosmlb-tbamlb-1,Boston Red Sox,2018-03-29,Tampa Bay Rays,1.61,1.62,2.55,2.5,1.98,1.91,1.93,1.91,4:00p,6.5,1.87,7.0,1.87
2018/03/29/anamlb-oakmlb-1,Los Angeles Angels,2018-03-29,Oakland Athletics,1.87,1.85,2.05,2.07,2.4,2.35,1.67,1.65,4:05p,9.0,2.0,9.0,2.05
2018/03/29/milmlb-sdnmlb-1,Milwaukee Brewers,2018-03-29,San Diego Padres,1.81,1.91,2.13,2.0,2.4,2.4,1.67,1.62,4:10p,8.0,1.91,8.5,1.95
2018/03/29/phimlb-atlmlb-1,Philadelphia Phillies,2018-03-29,Atlanta Braves,1.8,2.02,2.15,1.89,2.4,1.49,1.67,2.75,4:10p,8.0,1.86,8.5,2.0
2018/03/29/chamlb-kcamlb-1,Chicago White Sox,2018-03-29,Kansas City Royals,2.22,2.52,1.76,1.62,1.61,1.71,2.55,2.2,4:15p,8.5,2.05,9.5,1.95
2018/03/29/sfnmlb-lanmlb-1,San Francisco Giants,2018-03-29,Los Angeles Dodgers,3.65,3.5,1.34,1.36,2.25,2.1,1.74,1.77,7:08p,7.5,1.87,7.0,1.91
2018/03/29/clemlb-seamlb-1,Cleveland Indians,2018-03-29,Seattle Mariners,1.57,1.66,2.64,2.41,1.95,2.0,1.95,1.83,10:10p,7.0,2.05,7.5,2.05
2018/03/29/colmlb-arimlb-1,Colorado Rockies,2018-03-29,Arizona Diamondbacks,2.02,2.11,1.89,1.83,1.5,1.53,2.85,2.65,10:10p,8.0,1.91,9.5,1.87
2018/03/30/pitmlb-detmlb-1,Pittsburgh Pirates,2018-03-30,Detroit Tigers,1.78,1.88,2.18,2.03,2.25,2.3,1.74,1.67,1:10p,9.0,2.05,9.5,1.87
2018/03/30/wasmlb-cinmlb-1,Washington Nationals,2018-03-30,Cincinnati Reds,1.49,1.53,2.88,2.78,1.83,1.83,2.1,2.0,4:10p,9.0,2.05,8.5,1.83
2018/03/30/nyamlb-tormlb-1,New York Yankees,2018-03-30,Toronto Blue Jays,1.72,1.7,2.28,2.33,2.15,2.2,1.8,1.71,7:07p,8.5,2.0,8.5,2.0
2018/03/30/chnmlb-miamlb-1,Chicago Cubs,2018-03-30,Miami Marlins,1.49,1.45,2.88,3.04,1.83,1.74,2.1,2.15,7:10p,8.5,2.01,8.0,1.83
2018/03/30/bosmlb-tbamlb-1,Boston Red Sox,2018-03-30,Tampa Bay Rays,1.68,1.62,2.37,2.5,2.15,1.91,1.8,1.91,7:10p,7.0,1.95,7.5,2.0
2018/03/30/phimlb-atlmlb-1,Philadelphia Phillies,2018-03-30,Atlanta Braves,1.95,2.05,1.95,1.87,1.47,1.48,2.95,2.8,7:35p,9.0,2.06,9.0,1.95
2018/03/30/houmlb-texmlb-1,Houston Astros,2018-03-30,Texas Rangers,1.6,1.52,2.58,2.79,1.95,1.83,1.95,2.0,8:05p,8.5,1.87,10.0,2.0
2018/03/30/colmlb-arimlb-1,Colorado Rockies,2018-03-30,Arizona Diamondbacks,2.3,2.52,1.71,1.62,1.61,1.67,2.55,2.3,9:40p,8.0,2.0,8.5,1.91
2018/03/30/anamlb-oakmlb-1,Los Angeles Angels,2018-03-30,Oakland Athletics,1.91,2.0,2.0,1.91,1.49,1.49,2.88,2.75,10:05p,9.0,1.95,9.0,2.0
2018/03/30/sfnmlb-lanmlb-1,San Francisco Giants,2018-03-30,Los Angeles Dodgers,2.48,2.7,1.63,1.56,1.65,1.77,2.45,2.1,10:10p,7.5,2.05,8.0,1.83
2018/03/30/milmlb-sdnmlb-1,Milwaukee Brewers,2018-03-30,San Diego Padres,1.9,1.85,2.01,2.08,2.5,2.3,1.62,1.67,10:10p,8.0,2.05,8.0,1.83
2018/03/31/slnmlb-nynmlb-1,St. Louis Cardinals,2018-03-31,New York Mets,2.09,2.4,1.84,1.67,1.5,1.61,2.85,2.45,1:10p,7.0,2.09,7.5,1.87
