"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","PA","playerid"
"Jonny Gomes","Athletics",".348","0.63","18.8 %","31.3 %","50.0 %","14.8 %","20.5 %","333","1845"
"David Wright","Mets",".347","1.20","22.2 %","42.4 %","35.4 %","4.8 %","12.5 %","670","3787"
"Yasmani Grandal","Padres",".333","1.74","16.8 %","52.9 %","30.3 %","8.5 %","17.0 %","226","11368"
"Joe Mauer","Twins",".364","2.35","25.0 %","52.6 %","22.4 %","1.0 %","9.7 %","641","1857"
"Aaron Hill","Diamondbacks",".317","0.77","21.1 %","34.3 %","44.6 %","9.9 %","11.2 %","668","6104"
"Yadier Molina","Cardinals",".316","1.14","24.8 %","40.0 %","35.2 %","7.5 %","13.8 %","563","7007"
"Dexter Fowler","Rockies",".390","1.17","27.2 %","39.2 %","33.5 %","5.7 %","12.3 %","530","4062"
"Allen Craig","Cardinals",".334","1.32","22.7 %","43.9 %","33.3 %","8.5 %","17.1 %","514","3433"
"Carlos Gonzalez","Rockies",".352","1.66","21.7 %","48.9 %","29.5 %","10.3 %","18.8 %","579","7287"
"Ryan Ludwick","Reds",".299","0.77","23.9 %","33.0 %","43.1 %","9.9 %","18.4 %","472","1260"
"John Jaso","Mariners",".298","1.64","25.4 %","46.4 %","28.2 %","7.1 %","14.3 %","361","5887"
"Austin Jackson","Tigers",".371","1.24","23.8 %","42.2 %","34.0 %","1.4 %","11.4 %","617","9848"
"Paul Konerko","White Sox",".312","1.13","22.3 %","41.2 %","36.5 %","7.3 %","15.8 %","598","242"
"David Murphy","Rangers",".333","1.23","21.2 %","43.4 %","35.4 %","10.9 %","10.9 %","521","6035"
"Chris Carter","Athletics",".295","0.75","20.3 %","34.1 %","45.7 %","9.5 %","25.4 %","260","9911"
"Andy Dirks","Tigers",".365","1.02","24.3 %","38.2 %","37.5 %","9.3 %","8.2 %","344","6453"
"Yoenis Cespedes","Athletics",".326","1.01","19.6 %","40.5 %","39.9 %","14.8 %","14.8 %","540","13110"
"David Freese","Cardinals",".352","1.98","21.8 %","52.0 %","26.2 %","6.0 %","20.0 %","567","9549"
"Ben Zobrist","Rays",".296","1.24","21.8 %","43.2 %","34.9 %","10.6 %","12.5 %","668","7435"
"Tyler Colvin","Rockies",".364","1.01","21.4 %","39.5 %","39.1 %","10.1 %","15.1 %","452","5310"
"Xavier Paul","Reds",".379","1.48","22.4 %","46.3 %","31.3 %","9.5 %","9.5 %","96","5963"
"Troy Tulowitzki","Rockies",".284","1.25","16.7 %","46.3 %","37.0 %","13.3 %","13.3 %","203","3531"
"Miguel Montero","Diamondbacks",".362","1.19","20.9 %","43.0 %","36.0 %","7.8 %","11.6 %","573","3364"
"Paul Goldschmidt","Diamondbacks",".340","1.12","23.9 %","40.2 %","35.9 %","7.1 %","14.2 %","587","9218"
"Nick Swisher","Yankees",".324","0.99","22.3 %","38.8 %","39.0 %","9.0 %","15.4 %","624","4599"
"Ian Desmond","Nationals",".332","1.38","17.9 %","47.6 %","34.5 %","7.3 %","18.2 %","547","6885"
"Eric Young Jr.","Rockies",".367","1.50","19.1 %","48.5 %","32.4 %","9.1 %","9.1 %","196","7158"
"Kevin Frandsen","Phillies",".366","2.45","24.3 %","53.8 %","22.0 %","15.8 %","5.3 %","210","7528"
"Brett Gardner","Yankees",".417","1.50","37.5 %","37.5 %","25.0 %","16.7 %","0.0 %","37","9927"
"Jayson Werth","Nationals",".356","1.08","18.9 %","42.2 %","38.9 %","9.5 %","5.3 %","344","1327"
"Alex Rios","White Sox",".323","1.05","21.8 %","40.0 %","38.2 %","11.1 %","12.6 %","640","2090"
"Tyler Moore","Nationals",".310","1.05","21.8 %","40.0 %","38.2 %","11.9 %","23.8 %","171","7244"
"Adam LaRoche","Nationals",".298","0.76","22.3 %","33.6 %","44.1 %","11.3 %","17.0 %","647","1904"
"Adam Jones","Orioles",".313","1.41","21.5 %","46.0 %","32.6 %","12.4 %","18.8 %","697","6368"
"Eric Chavez","Yankees",".300","1.22","23.3 %","42.2 %","34.5 %","15.6 %","20.8 %","313","906"
"Chipper Jones","Braves",".298","1.42","21.5 %","46.0 %","32.4 %","9.1 %","12.7 %","448","97"
"Albert Pujols","Angels",".282","1.04","18.8 %","41.3 %","39.9 %","12.1 %","14.0 %","670","1177"
"Nick Markakis","Orioles",".310","1.33","26.8 %","41.8 %","31.4 %","8.5 %","11.1 %","471","5930"
"Shin-Soo Choo","Indians",".353","1.83","23.3 %","49.7 %","27.1 %","2.5 %","13.2 %","686","3174"
"Corey Hart","Brewers",".318","0.99","19.3 %","40.1 %","40.6 %","4.8 %","18.1 %","622","1945"
"Rob Brantly","Marlins",".321","1.17","24.1 %","41.0 %","34.9 %","13.8 %","10.3 %","113","10655"
"Alex Gordon","Royals",".356","1.29","25.0 %","42.3 %","32.7 %","9.1 %","8.5 %","721","5209"
"Will Middlebrooks","Red Sox",".335","1.24","21.5 %","43.5 %","35.0 %","7.1 %","21.4 %","286","7002"
"Wilin Rosario","Rockies",".289","1.26","17.3 %","46.2 %","36.5 %","10.9 %","25.5 %","426","8002"
"Torii Hunter","Angels",".389","2.05","22.6 %","52.0 %","25.4 %","5.0 %","16.0 %","584","731"
"Matt Carpenter","Cardinals",".346","1.12","23.8 %","40.2 %","36.0 %","3.5 %","7.0 %","340","8090"
"Carlos Beltran","Cardinals",".291","1.11","20.4 %","41.8 %","37.8 %","13.7 %","19.9 %","619","589"
"Adam Eaton","Diamondbacks",".294","2.63","12.1 %","63.6 %","24.2 %","0.0 %","12.5 %","103","11205"
"Todd Frazier","Reds",".316","0.74","22.4 %","32.9 %","44.7 %","11.1 %","13.2 %","465","785"
"Lance Berkman","Cardinals",".317","1.33","21.0 %","45.2 %","33.9 %","23.8 %","9.5 %","97","548"
"Jay Bruce","Reds",".283","0.80","20.2 %","35.4 %","44.4 %","6.6 %","18.7 %","633","9892"
"Bryce Harper","Nationals",".310","1.35","22.5 %","44.6 %","32.9 %","8.1 %","16.2 %","597","11579"
"Irving Falu","Royals",".382","2.13","34.7 %","44.4 %","20.8 %","20.0 %","0.0 %","91","6165"
"Ryan Zimmerman","Nationals",".313","1.44","18.5 %","48.1 %","33.5 %","9.6 %","16.0 %","641","4220"
"Jeff Keppinger","Rays",".332","1.81","23.2 %","49.4 %","27.4 %","11.2 %","9.2 %","418","3856"
"Garrett Jones","Pirates",".293","0.96","18.5 %","39.8 %","41.7 %","6.3 %","17.1 %","515","2714"
"Jason Kubel","Diamondbacks",".296","0.76","23.0 %","33.2 %","43.8 %","4.4 %","19.0 %","571","2161"
"Chris Davis","Orioles",".335","1.05","23.2 %","39.3 %","37.5 %","3.1 %","25.2 %","562","9272"
"A.J. Pierzynski","White Sox",".280","1.17","22.2 %","42.0 %","35.8 %","9.7 %","18.6 %","520","746"
"Jason Heyward","Braves",".319","1.20","19.3 %","44.0 %","36.7 %","8.1 %","16.9 %","651","4940"
"Andre Ethier","Dodgers",".333","1.32","24.1 %","43.2 %","32.6 %","7.0 %","14.1 %","618","6265"
"Alfonso Soriano","Cubs",".303","0.82","20.4 %","35.8 %","43.8 %","6.7 %","17.8 %","615","847"
"Mike Napoli","Rangers",".273","0.97","19.2 %","39.7 %","41.0 %","7.4 %","25.5 %","417","3057"
"Anthony Rizzo","Cubs",".310","1.51","24.4 %","45.5 %","30.2 %","7.2 %","18.1 %","368","3473"
"Chris Nelson","Rockies",".374","1.98","25.1 %","49.8 %","25.1 %","4.5 %","13.6 %","377","8175"
"Derek Jeter","Yankees",".347","3.94","21.7 %","62.5 %","15.9 %","3.2 %","16.1 %","740","826"
"Logan Schafer","Brewers",".333","0.67","28.6 %","28.6 %","42.9 %","33.3 %","0.0 %","25","7937"
"Adam Dunn","White Sox",".246","0.78","22.4 %","34.0 %","43.6 %","8.6 %","29.3 %","649","319"
"Adrian Gonzalez","- - -",".334","1.13","24.1 %","40.3 %","35.6 %","9.1 %","9.6 %","684","1908"
"Mark Trumbo","Angels",".316","1.13","16.0 %","44.5 %","39.4 %","11.0 %","20.6 %","586","6876"
"Curtis Granderson","Yankees",".260","0.75","23.0 %","33.1 %","44.0 %","8.4 %","24.2 %","684","4747"
"Dave Sappelt","Cubs",".293","1.08","13.3 %","45.0 %","41.7 %","20.0 %","8.0 %","78","6898"
"Martin Prado","Braves",".322","1.65","22.8 %","48.0 %","29.1 %","7.4 %","6.2 %","690","3312"
"Mark Teixeira","Yankees",".250","1.04","19.5 %","41.1 %","39.5 %","8.7 %","16.0 %","524","1281"
"Chris Denorfia","Padres",".323","2.80","18.2 %","60.3 %","21.5 %","6.3 %","12.5 %","382","4400"
"Cody Ross","Red Sox",".317","0.85","22.4 %","35.7 %","41.9 %","8.8 %","14.9 %","528","1760"
"Dustin Pedroia","Red Sox",".300","1.32","19.8 %","45.6 %","34.6 %","11.9 %","8.5 %","623","8370"
"Carlos Santana","Indians",".278","1.14","19.1 %","43.1 %","37.8 %","11.5 %","11.5 %","609","2396"
"Nori Aoki","Brewers",".304","2.00","16.9 %","55.4 %","27.7 %","7.1 %","7.9 %","588","13075"
"Michael Cuddyer","Rockies",".287","1.57","20.4 %","48.6 %","31.0 %","8.0 %","18.2 %","394","1534"
"Freddie Freeman","Braves",".295","1.01","26.0 %","37.1 %","36.9 %","7.7 %","14.8 %","620","5361"
"Scott Hairston","Mets",".287","0.70","21.0 %","32.5 %","46.4 %","16.1 %","14.6 %","398","1926"
"Chase Utley","Phillies",".261","1.17","21.4 %","42.4 %","36.3 %","4.2 %","11.6 %","362","1679"
"Alex Rodriguez","Yankees",".323","1.39","22.2 %","45.3 %","32.5 %","9.6 %","15.8 %","529","1274"
"Travis Hafner","Indians",".233","1.10","17.1 %","43.4 %","39.4 %","10.1 %","17.4 %","263","1573"
"Jon Jay","Cardinals",".355","3.06","21.8 %","59.0 %","19.3 %","1.4 %","5.7 %","502","5227"
"A.J. Ellis","Dodgers",".329","1.37","22.9 %","44.5 %","32.6 %","4.8 %","12.5 %","505","5677"
"Roger Bernadina","Nationals",".359","1.35","25.9 %","42.6 %","31.5 %","9.8 %","9.8 %","261","6421"
"Justin Upton","Diamondbacks",".327","1.23","20.6 %","43.8 %","35.6 %","10.3 %","11.0 %","628","5222"
"Alex Gonzalez","Brewers",".274","0.70","22.7 %","31.8 %","45.5 %","30.0 %","13.3 %","89","520"
"David Cooper","Blue Jays",".333","0.77","29.7 %","30.5 %","39.8 %","12.8 %","8.5 %","145","7752"
"Michael Morse","Nationals",".339","2.25","20.1 %","55.3 %","24.6 %","10.4 %","23.4 %","430","3035"
"James Darnell","Padres",".214","0.75","6.7 %","40.0 %","53.3 %","12.5 %","12.5 %","19","9060"
"Salvador Perez","Royals",".299","1.39","24.2 %","44.2 %","31.7 %","8.3 %","13.1 %","305","7304"
"Jim Thome","- - -",".351","2.55","23.5 %","54.9 %","21.6 %","0.0 %","36.4 %","186","409"
"Brandon Belt","Giants",".351","1.04","25.6 %","37.9 %","36.6 %","4.4 %","6.2 %","472","10264"
"George Kottaras","- - -",".237","1.25","18.9 %","45.1 %","36.1 %","6.8 %","20.5 %","209","5506"
"Bryan LaHair","Cubs",".358","1.08","25.3 %","38.7 %","35.9 %","5.1 %","20.5 %","380","5462"
"Erik Kratz","Phillies",".257","1.02","17.3 %","41.8 %","40.9 %","20.0 %","20.0 %","157","4403"
"Kendrys Morales","Angels",".315","1.81","20.5 %","51.2 %","28.3 %","7.6 %","21.0 %","522","8610"
"Pablo Sandoval","Giants",".301","1.17","20.3 %","43.0 %","36.6 %","15.1 %","9.5 %","442","5409"
"Mike Baxter","Mets",".331","1.08","24.4 %","39.3 %","36.3 %","2.0 %","6.1 %","211","4464"
"Craig Gentry","Rangers",".364","1.43","20.4 %","46.8 %","32.8 %","9.8 %","1.6 %","269","9571"
"Jed Lowrie","Astros",".257","0.57","19.3 %","29.5 %","51.3 %","10.6 %","11.3 %","387","4418"
"Nelson Cruz","Rangers",".301","1.00","18.5 %","40.8 %","40.8 %","7.1 %","13.1 %","642","2434"
"Matt Joyce","Rays",".281","0.87","19.3 %","37.5 %","43.2 %","10.2 %","13.3 %","462","3353"
"Pedro Alvarez","Pirates",".308","1.36","18.7 %","46.8 %","34.5 %","2.5 %","25.0 %","586","2495"
"Jose Reyes","Marlins",".298","1.43","21.7 %","46.1 %","32.2 %","11.9 %","5.9 %","716","1736"
"Scott Moore","Astros",".309","0.64","26.5 %","28.6 %","44.9 %","7.6 %","13.6 %","228","4390"
"Matt Dominguez","Astros",".299","2.00","18.5 %","54.3 %","27.2 %","12.0 %","20.0 %","113","4903"
"Mark Reynolds","Orioles",".282","0.87","20.4 %","37.1 %","42.5 %","9.4 %","18.1 %","538","7619"
"Chris Johnson","- - -",".354","1.13","25.6 %","39.4 %","35.0 %","0.8 %","11.9 %","528","1191"
"Mitch Moreland","Rangers",".306","1.12","20.0 %","42.3 %","37.7 %","8.2 %","15.3 %","357","3086"
"Neil Walker","Pirates",".326","1.26","24.0 %","42.3 %","33.7 %","8.8 %","11.2 %","530","7539"
"Sandy Leon","Nationals",".421","1.83","10.5 %","57.9 %","31.6 %","16.7 %","0.0 %","36","5273"
"Angel Pagan","Giants",".329","1.19","22.5 %","42.1 %","35.4 %","9.5 %","4.5 %","659","2918"
"Adam Moore","Royals",".143","0.60","0.0 %","37.5 %","62.5 %","0.0 %","20.0 %","12","9362"
"David Ross","Braves",".330","0.80","23.5 %","33.9 %","42.6 %","10.2 %","18.4 %","196","1551"
"Carl Crawford","Red Sox",".319","2.00","18.8 %","54.2 %","27.1 %","3.8 %","11.5 %","125","1201"
"Alejandro De Aza","White Sox",".339","1.30","26.1 %","41.8 %","32.1 %","6.2 %","7.0 %","585","3371"
"Pete Orr","Phillies",".472","2.43","31.4 %","48.6 %","20.0 %","14.3 %","0.0 %","57","2748"
"Josh Rutledge","Rockies",".315","1.59","20.1 %","49.1 %","30.8 %","8.7 %","11.6 %","291","11167"
"Asdrubal Cabrera","Indians",".303","1.16","23.4 %","41.1 %","35.5 %","10.6 %","9.9 %","616","4962"
"Ryan Doumit","Twins",".306","1.16","22.4 %","41.7 %","35.9 %","7.1 %","12.8 %","528","2113"
"Will Venable","Padres",".320","1.64","22.4 %","48.2 %","29.4 %","15.2 %","9.8 %","470","211"
"David DeJesus","Cubs",".301","1.16","23.5 %","41.0 %","35.5 %","9.5 %","6.1 %","582","1825"
"Matt Wieters","Orioles",".274","1.24","20.4 %","44.1 %","35.5 %","8.8 %","15.5 %","593","4298"
"Chad Tracy","Nationals",".289","0.74","16.5 %","35.4 %","48.1 %","15.8 %","7.9 %","105","1888"
"Ike Davis","Mets",".246","0.97","21.1 %","38.9 %","40.0 %","11.8 %","21.1 %","584","8433"
"Austin Kearns","Marlins",".323","3.11","28.2 %","54.4 %","17.5 %","0.0 %","22.2 %","175","332"
"Jordan Pacheco","Rockies",".344","1.36","26.4 %","42.4 %","31.2 %","10.8 %","3.8 %","505","2677"
"Daniel Nava","Red Sox",".295","1.00","23.3 %","38.3 %","38.3 %","5.1 %","7.6 %","317","5450"
"Justin Morneau","Twins",".294","1.13","21.8 %","41.4 %","36.8 %","6.6 %","12.5 %","570","1737"
"Fernando Martinez","Astros",".278","1.66","9.4 %","56.5 %","34.1 %","6.9 %","20.7 %","130","9210"
"Michael McKenry","Pirates",".278","0.69","13.5 %","35.3 %","51.2 %","8.0 %","13.8 %","275","9628"
"Justin Maxwell","Astros",".292","1.13","16.4 %","44.3 %","39.3 %","8.9 %","22.8 %","352","6827"
"Carlos Gomez","Brewers",".296","0.93","16.6 %","40.3 %","43.2 %","12.8 %","14.3 %","452","4881"
"Marco Scutaro","- - -",".319","1.26","25.8 %","41.3 %","32.9 %","11.1 %","3.7 %","683","1555"
"Hanley Ramirez","- - -",".290","1.37","18.4 %","47.3 %","34.4 %","12.9 %","14.7 %","667","8001"
"Kevin Youkilis","- - -",".268","1.18","20.7 %","42.9 %","36.3 %","9.9 %","15.7 %","509","1935"
"Welington Castillo","Cubs",".348","1.34","20.0 %","45.8 %","34.2 %","7.3 %","12.2 %","190","3256"
"Carlos Corporan","Astros",".304","0.86","31.7 %","31.7 %","36.7 %","4.5 %","18.2 %","85","5587"
"Brandon Snyder","Rangers",".417","0.76","23.1 %","33.3 %","43.6 %","5.9 %","17.6 %","69","9856"
"Alex Avila","Tigers",".313","1.56","23.8 %","46.4 %","29.8 %","2.5 %","11.4 %","434","7476"
"Todd Helton","Rockies",".260","1.19","25.1 %","40.7 %","34.2 %","7.4 %","10.3 %","283","432"
"Ian Kinsler","Rangers",".270","0.89","20.1 %","37.6 %","42.2 %","14.2 %","7.9 %","731","6195"
"Trevor Plouffe","Twins",".244","0.87","18.5 %","37.9 %","43.6 %","15.3 %","16.7 %","465","7462"
"Josh Reddick","Athletics",".269","0.59","21.2 %","29.2 %","49.6 %","14.4 %","14.0 %","673","3892"
"Michael Bourn","Braves",".349","2.19","21.9 %","53.6 %","24.5 %","1.8 %","8.0 %","703","6387"
"Ronny Cedeno","Mets",".307","1.97","22.3 %","51.5 %","26.2 %","8.8 %","11.8 %","186","2179"
"Wilson Ramos","Nationals",".306","3.31","13.8 %","66.2 %","20.0 %","7.7 %","23.1 %","96","1433"
"Luis Cruz","Dodgers",".320","1.05","23.6 %","39.2 %","37.2 %","12.9 %","6.5 %","296","3188"
"Dan Uggla","Braves",".283","0.72","20.1 %","33.5 %","46.4 %","16.9 %","11.4 %","630","3442"
"Brett Wallace","Astros",".331","1.09","26.8 %","38.2 %","35.0 %","9.1 %","16.4 %","254","8434"
"Chris Young","Diamondbacks",".263","0.66","22.0 %","30.9 %","47.2 %","12.9 %","12.1 %","363","3882"
"Seth Smith","Athletics",".285","1.16","22.6 %","41.5 %","35.9 %","4.9 %","13.6 %","441","7331"
"Brandon Phillips","Reds",".298","1.46","20.6 %","47.1 %","32.3 %","9.2 %","11.0 %","623","791"
"Raul Ibanez","Yankees",".243","1.06","19.4 %","41.4 %","39.2 %","8.8 %","15.2 %","425","607"
"Logan Forsythe","Padres",".316","1.04","28.7 %","36.4 %","34.9 %","5.6 %","6.7 %","350","7185"
"Denard Span","Twins",".315","2.24","21.3 %","54.4 %","24.3 %","10.2 %","3.7 %","568","8347"
"Jose Altuve","Astros",".321","1.94","20.2 %","52.7 %","27.1 %","1.5 %","5.1 %","630","5417"
"Wilson Betemit","Orioles",".336","1.17","25.3 %","40.2 %","34.4 %","4.8 %","14.5 %","376","1861"
"Travis Ishikawa","Brewers",".327","0.91","24.1 %","36.1 %","39.8 %","7.0 %","9.3 %","174","4793"
"Andrelton Simmons","Braves",".310","2.05","17.0 %","55.8 %","27.2 %","17.5 %","7.5 %","182","10847"
"Coco Crisp","Athletics",".280","1.25","20.1 %","44.3 %","35.6 %","10.9 %","8.0 %","508","1572"
"Mauro Gomez","Red Sox",".347","0.97","23.4 %","37.7 %","39.0 %","13.3 %","6.7 %","111","5342"
"Chris Iannetta","Angels",".288","1.22","20.4 %","43.8 %","35.8 %","15.5 %","15.5 %","253","8267"
"Starlin Castro","Cubs",".315","1.48","20.5 %","47.5 %","32.0 %","9.1 %","8.0 %","691","4579"
"Yonder Alonso","Padres",".318","1.44","23.7 %","45.0 %","31.3 %","2.8 %","6.4 %","619","2530"
"Melvin Upton Jr.","Rays",".294","0.98","18.6 %","40.3 %","41.1 %","10.1 %","16.7 %","633","5015"
"Hunter Pence","- - -",".290","1.60","17.0 %","51.1 %","31.9 %","7.9 %","15.8 %","688","8252"
"Michael Brantley","Indians",".310","1.69","22.5 %","48.7 %","28.8 %","5.6 %","4.2 %","609","4106"
"Jimmy Rollins","Phillies",".262","0.95","19.0 %","39.4 %","41.6 %","19.0 %","10.4 %","699","971"
"Lonnie Chisenhall","Indians",".300","1.32","25.2 %","42.6 %","32.2 %","13.5 %","13.5 %","151","7571"
"Elvis Andrus","Rangers",".332","2.72","21.9 %","57.1 %","21.0 %","5.5 %","2.8 %","711","8709"
"Reed Johnson","- - -",".366","2.92","23.9 %","56.7 %","19.4 %","7.7 %","7.7 %","288","1702"
"Erick Aybar","Angels",".316","1.78","18.5 %","52.1 %","29.3 %","18.4 %","6.4 %","554","4082"
"Dayan Viciedo","White Sox",".286","1.48","22.1 %","46.5 %","31.4 %","16.4 %","20.5 %","543","3917"
"Charlie Blackmon","Rockies",".319","1.61","20.7 %","48.9 %","30.4 %","3.6 %","7.1 %","121","7859"
"Rickie Weeks Jr.","Brewers",".285","1.19","16.9 %","45.1 %","38.0 %","10.6 %","13.1 %","677","1849"
"Kyle Seager","Mariners",".286","0.85","21.9 %","35.9 %","42.3 %","6.8 %","9.8 %","651","9785"
"Michael Saunders","Mariners",".297","1.31","20.2 %","45.2 %","34.6 %","11.0 %","15.0 %","553","9981"
"Martin Maldonado","Brewers",".320","1.28","22.6 %","43.5 %","33.9 %","8.8 %","14.0 %","256","6887"
"Jason Castro","Astros",".309","1.42","27.5 %","42.5 %","30.0 %","3.3 %","10.0 %","295","8722"
"Jerry Hairston","Dodgers",".292","0.94","25.0 %","36.3 %","38.7 %","15.9 %","4.9 %","267","144"
"Juan Pierre","Phillies",".327","2.81","24.2 %","55.9 %","19.9 %","7.2 %","1.4 %","439","443"
"Nick Johnson","Orioles",".246","1.36","14.8 %","49.2 %","36.1 %","9.1 %","18.2 %","102","828"
"Brett Lawrie","Blue Jays",".311","1.69","20.0 %","50.2 %","29.8 %","9.0 %","9.0 %","536","5247"
"Jarrod Saltalamacchia","Red Sox",".265","0.66","22.8 %","30.6 %","46.6 %","6.4 %","20.0 %","448","5557"
"Lucas Duda","Mets",".301","0.83","22.5 %","35.2 %","42.3 %","6.7 %","12.5 %","459","2502"
"Lorenzo Cain","Royals",".319","1.51","21.8 %","47.1 %","31.2 %","11.3 %","13.2 %","244","9077"
"Jesus Guzman","Padres",".297","1.06","17.9 %","42.2 %","39.9 %","8.0 %","10.3 %","321","3118"
"Cody Ransom","- - -",".341","0.95","18.7 %","39.6 %","41.8 %","12.5 %","19.6 %","282","1126"
"Daniel Murphy","Mets",".329","2.03","24.3 %","50.7 %","24.9 %","3.3 %","4.9 %","612","4316"
"Dioner Navarro","Reds",".321","1.00","31.0 %","34.5 %","34.5 %","15.0 %","10.0 %","73","3179"
"Laynce Nix","Phillies",".357","1.04","23.6 %","38.9 %","37.5 %","7.4 %","11.1 %","127","1766"
"Manny Machado","Orioles",".293","1.17","13.9 %","46.4 %","39.7 %","15.0 %","11.7 %","202","11493"
"Gerardo Parra","Diamondbacks",".323","2.19","22.1 %","53.5 %","24.4 %","6.8 %","9.5 %","430","8553"
"Bryan Anderson","Cardinals",".500","1.00","33.3 %","33.3 %","33.3 %","0.0 %","0.0 %","14","9871"
"DJ LeMahieu","Rockies",".353","2.26","19.0 %","56.1 %","24.9 %","4.3 %","4.3 %","247","9874"
"Franklin Gutierrez","Mariners",".302","1.19","21.0 %","42.9 %","36.1 %","16.3 %","9.3 %","163","3255"
"Adam Lind","Blue Jays",".282","1.40","17.1 %","48.3 %","34.6 %","9.9 %","12.1 %","353","8027"
"Starling Marte","Pirates",".333","2.32","18.4 %","57.0 %","24.6 %","10.7 %","17.9 %","182","9241"
"Kelly Shoppach","- - -",".352","0.79","20.9 %","34.9 %","44.2 %","7.0 %","14.0 %","245","3867"
